,WT,AO,NAO,PNA,NINO
399,1,2.6630000000000003,0.064,-2.7710000000000004,-0.82
400,1,2.346,0.053,-2.335,-0.82
401,6,1.682,0.33,-1.345,-0.82
402,2,1.078,0.507,-0.95,-0.82
403,2,0.8440000000000001,0.419,-0.955,-0.82
404,6,0.8029999999999999,0.109,-0.743,-0.82
405,6,0.598,-0.142,-0.059000000000000004,-0.82
406,5,0.602,0.18,0.204,-0.82
407,5,0.64,0.35600000000000004,-0.076,-0.82
408,1,-0.005,0.172,-0.27899999999999997,-0.82
409,6,-0.304,0.305,-0.324,-0.82
410,6,-0.016,0.591,-0.12300000000000001,-0.82
411,7,0.228,0.815,0.391,-0.82
412,7,0.34700000000000003,0.6970000000000001,0.802,-0.82
413,2,0.428,0.41200000000000003,1.035,-0.82
414,2,0.6809999999999999,0.26,1.087,-0.82
415,2,1.409,0.127,0.934,-0.82
416,5,1.959,-0.18,0.593,-0.82
417,2,2.072,-0.10099999999999999,0.534,-0.82
418,2,2.7110000000000003,0.27399999999999997,0.627,-0.82
419,4,2.488,0.11800000000000001,0.93,-0.82
420,4,1.939,-0.098,0.9990000000000001,-0.82
421,4,2.108,0.38,0.993,-0.82
422,4,2.9530000000000003,1.094,1.178,-0.82
423,7,3.3710000000000004,1.012,1.262,-0.82
424,7,3.0469999999999997,0.7879999999999999,1.126,-0.82
425,6,2.636,0.593,1.1440000000000001,-1.07
426,6,1.9180000000000001,0.325,1.4980000000000002,-1.07
427,7,1.2409999999999999,0.196,1.704,-1.07
428,2,0.9740000000000001,0.23800000000000002,1.672,-1.07
429,2,0.9159999999999999,0.127,1.4180000000000001,-1.07
430,3,0.536,0.066,1.217,-1.07
431,4,-0.44,0.126,1.224,-1.07
432,7,-1.004,0.151,1.254,-1.07
433,7,-1.3130000000000002,-0.131,1.2819999999999998,-1.07
434,5,-1.9040000000000001,-0.631,1.2590000000000001,-1.07
435,3,-2.316,-0.91,1.318,-1.07
436,4,-2.301,-0.885,1.24,-1.07
437,4,-2.51,-0.948,1.006,-1.07
438,4,-1.925,-1.123,0.89,-1.07
439,5,-1.265,-1.158,0.977,-1.07
440,3,-0.9940000000000001,-1.085,1.198,-1.07
441,3,-0.628,-0.992,1.013,-1.07
442,4,-0.344,-0.7090000000000001,0.789,-1.07
443,4,-0.599,-0.667,0.8809999999999999,-1.07
444,5,-1.183,-1.189,0.365,-1.07
445,3,-1.262,-1.419,0.243,-1.07
446,4,-0.7340000000000001,-1.178,0.451,-1.07
447,7,-0.633,-0.998,0.45899999999999996,-1.07
448,5,-0.40700000000000003,-0.685,0.18600000000000003,-1.07
449,3,0.353,-0.121,0.322,-1.07
450,4,0.451,0.17800000000000002,0.74,-1.07
451,7,-0.6759999999999999,-0.09699999999999999,0.7959999999999999,-1.07
452,5,-2.326,-0.444,0.943,-1.07
453,3,-2.4290000000000003,-0.5589999999999999,0.8109999999999999,-1.07
454,4,-1.7369999999999999,-0.040999999999999995,0.608,-1.07
455,1,0.5529999999999999,-0.8540000000000001,0.759,-0.29
456,1,-0.27699999999999997,-1.002,0.8859999999999999,-0.29
457,1,-0.655,-0.731,1.013,-0.29
458,1,-0.8290000000000001,-0.265,1.37,-0.29
459,1,-0.8109999999999999,0.233,1.828,-0.29
460,2,-0.406,0.439,1.885,-0.29
461,6,-0.151,0.40399999999999997,1.8219999999999998,-0.29
462,6,0.741,0.381,1.401,-0.29
463,6,1.469,0.358,0.6829999999999999,-0.29
464,5,1.271,0.541,0.038,-0.29
465,1,0.358,0.742,-0.433,-0.29
466,1,-0.392,0.878,-0.76,-0.29
467,6,-0.929,0.579,-0.9309999999999999,-0.29
468,1,-1.2,0.27,-0.885,-0.29
469,1,-1.004,0.43700000000000006,-0.762,-0.29
470,1,-0.7390000000000001,0.461,-1.014,-0.29
471,6,-0.34,0.306,-1.35,-0.29
472,6,0.12300000000000001,0.425,-1.077,-0.29
473,1,0.124,0.149,-0.743,-0.29
474,1,-0.698,-0.371,-0.7340000000000001,-0.29
475,1,-1.2890000000000001,-0.526,-0.7609999999999999,-0.29
476,6,-2.27,-0.804,-0.07200000000000001,-0.29
477,6,-2.59,-0.782,0.7190000000000001,-0.29
478,6,-1.725,-0.373,0.755,-0.29
479,6,-0.8,-0.105,0.36200000000000004,-0.29
480,1,-0.33799999999999997,-0.079,-0.306,-0.29
481,7,0.272,0.18100000000000002,-0.54,-0.29
482,6,0.34600000000000003,0.636,-0.768,-0.29
483,2,0.191,0.703,-0.5820000000000001,-0.29
484,2,0.049,0.376,-0.414,-0.29
485,2,-0.27,0.11900000000000001,0.455,-0.76
486,2,-0.929,0.078,0.35600000000000004,-0.76
487,4,-2.097,-0.27,0.264,-0.76
488,4,-3.054,-0.5720000000000001,1.005,-0.76
489,7,-3.0869999999999997,-0.507,1.5019999999999998,-0.76
490,7,-1.9669999999999999,-0.015,1.767,-0.76
491,6,-0.5579999999999999,0.498,2.254,-0.76
492,6,0.637,0.575,2.265,-0.76
493,6,0.9490000000000001,0.195,1.933,-0.76
494,6,0.27899999999999997,-0.314,1.6980000000000002,-0.76
495,6,-0.192,-0.7240000000000001,1.482,-0.76
496,2,-0.156,-1.053,1.2409999999999999,-0.76
497,2,0.45299999999999996,-1.032,0.192,-0.76
498,2,0.5379999999999999,-1.329,-0.551,-0.76
499,2,-0.092,-1.577,-0.777,-0.76
500,2,-0.15,-1.278,-1.078,-0.76
501,2,0.1,-1.053,-1.324,-0.76
502,2,0.242,-0.309,-1.1520000000000001,-0.76
503,5,0.289,0.47100000000000003,-0.983,-0.76
504,5,-0.027999999999999997,0.615,-0.929,-0.76
505,5,0.154,0.6559999999999999,-0.865,-0.76
506,5,0.71,0.627,-1.0659999999999998,-0.76
507,6,1.148,0.81,-0.9990000000000001,-0.76
508,6,0.9490000000000001,0.904,-0.96,-0.76
509,6,0.628,0.91,-1.072,-0.76
510,6,-0.07400000000000001,0.7879999999999999,-1.376,-0.76
511,6,-0.747,0.40399999999999997,-1.588,-0.76
512,5,-0.636,0.267,-1.8780000000000001,-0.76
513,1,-0.368,0.747,-1.71,-0.76
514,6,-0.207,1.141,-1.123,-0.76
515,6,-0.546,1.143,-0.52,-0.76
516,6,-0.6579999999999999,0.9309999999999999,-0.185,-1.24
517,1,-0.341,0.805,-0.179,-1.24
518,7,-0.264,0.67,-0.336,-1.24
519,5,-0.608,0.40399999999999997,-0.36200000000000004,-1.24
520,3,-1.557,0.045,-0.14300000000000002,-1.24
521,3,-2.491,-0.461,-0.031,-1.24
522,4,-2.935,-0.755,-0.259,-1.24
523,7,-2.7680000000000002,-0.5720000000000001,-0.517,-1.24
524,7,-2.129,-0.396,-0.41600000000000004,-1.24
525,5,-1.8219999999999998,-0.2,-0.284,-1.24
526,3,-1.636,-0.055,-0.23,-1.24
527,3,-1.399,-0.006,0.136,-1.24
528,4,-1.736,-0.02,0.439,-1.24
529,4,-2.414,-0.158,0.57,-1.24
530,7,-3.338,-0.258,0.504,-1.24
531,3,-3.363,-0.183,0.675,-1.24
532,4,-2.673,-0.408,0.715,-1.24
533,4,-2.108,-0.619,0.905,-1.24
534,4,-1.525,-0.7829999999999999,0.915,-1.24
535,4,-1.188,-0.8079999999999999,0.9490000000000001,-1.24
536,7,-0.6579999999999999,-0.6890000000000001,1.041,-1.24
537,7,0.45799999999999996,-0.424,0.956,-1.24
538,7,1.725,-0.27899999999999997,0.706,-1.24
539,4,1.704,-0.326,0.244,-1.24
540,7,0.998,-0.168,0.11,-1.24
541,6,1.1640000000000001,0.578,0.188,-1.24
542,6,1.784,1.192,0.102,-1.24
543,5,1.7530000000000001,1.3430000000000002,-0.001,-1.24
544,3,0.629,0.9159999999999999,0.18,-1.24
545,3,-0.5529999999999999,0.293,0.35600000000000004,-1.24
546,6,-0.569,-0.7120000000000001,1.355,-0.47
547,6,-0.657,-0.466,1.325,-0.47
548,6,-0.903,-0.551,0.871,-0.47
549,1,-1.067,-0.8440000000000001,0.56,-0.47
550,1,-1.4880000000000002,-1.1840000000000002,0.8740000000000001,-0.47
551,1,-2.003,-1.45,0.659,-0.47
552,1,-2.09,-1.396,0.092,-0.47
553,1,-1.754,-1.329,-0.355,-0.47
554,1,-1.557,-0.934,-0.706,-0.47
555,1,-1.364,-0.426,-0.7909999999999999,-0.47
556,1,-1.0959999999999999,-0.302,-0.78,-0.47
557,2,-0.6779999999999999,-0.111,-0.68,-0.47
558,2,0.569,0.628,-0.157,-0.47
559,2,1.8419999999999999,0.764,-0.098,-0.47
560,6,2.9760000000000004,0.857,-0.6779999999999999,-0.47
561,6,3.3169999999999997,0.723,-1.136,-0.47
562,6,2.5,0.239,-0.894,-0.47
563,6,1.3530000000000002,0.115,-0.36,-0.47
564,6,1.192,0.07,-0.426,-0.47
565,6,1.534,0.039,-0.812,-0.47
566,6,1.5230000000000001,0.171,-1.193,-0.47
567,6,0.961,-0.013999999999999999,-1.5519999999999998,-0.47
568,6,0.5489999999999999,-0.493,-1.806,-0.47
569,5,0.418,-0.94,-1.683,-0.47
570,1,0.105,-1.067,-1.3719999999999999,-0.47
